-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2023 
Location: Latitude  6.5   Longitude -75.25 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1291.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M_MAX     MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M_MAX
2015,7,4,1.38
2015,7,5,1.36
2015,7,6,1.34
2015,7,7,1.44
2015,7,8,1.34
2015,7,9,1.6
2015,7,10,1.45
2015,7,11,1.5
2015,7,12,1.38
2015,7,13,1.72
2015,7,14,1.59
2015,7,15,1.15
2015,7,16,1.24
2015,7,17,1.3
2015,7,18,1.11
2015,7,19,1.25
2015,7,20,1.26
2015,7,21,1.17
2015,7,22,0.96
2015,7,23,1.3
2015,7,24,1.31
2015,7,25,1.54
2015,7,26,1.91
2015,7,27,1.6
2015,7,28,1.45
2015,7,29,1.16
2015,7,30,1.34
2015,7,31,1.47
2015,8,1,1.04
2015,8,2,1.41
2015,8,3,1.55
2015,8,4,1.6
2015,8,5,1.52
2015,8,6,1.45
2015,8,7,1.17
2015,8,8,1.2
2015,8,9,0.93
2015,8,10,1.56
2015,8,11,1.26
2015,8,12,1.51
2015,8,13,1.12
2015,8,14,1.3
2015,8,15,1.45
2015,8,16,1.4
2015,8,17,1.37
2015,8,18,1.3
2015,8,19,1.46
2015,8,20,1.3
2015,8,21,1.2
2015,8,22,1.31
2015,8,23,1.42
2015,8,24,1.16
2015,8,25,1.29
2015,8,26,1.08
2015,8,27,0.85
2015,8,28,1.27
2015,8,29,1.47
2015,8,30,1.27
2015,8,31,1.64
2015,9,1,1.52
2015,9,2,1.34
2015,9,3,1.46
2015,9,4,1.34
2015,9,5,1.16
2015,9,6,1.06
2015,9,7,1.44
2015,9,8,1.3
2015,9,9,0.87
2015,9,10,1.12
2015,9,11,1.03
2015,9,12,1.45
2015,9,13,1.44
2015,9,14,1.41
2015,9,15,1.3
2015,9,16,1.38
2015,9,17,1.09
2015,9,18,1.28
2015,9,19,1.03
2015,9,20,1.3
2015,9,21,1.32
2015,9,22,1.44
2015,9,23,1.36
2015,9,24,1.28
2015,9,25,1.39
2015,9,26,1.52
2015,9,27,1.22
2015,9,28,1.3
2015,9,29,1.23
2015,9,30,1.65
2015,10,1,1.24
2015,10,2,1.28
2015,10,3,1.46
2015,10,4,1.04
2015,10,5,1.38
2015,10,6,1.3
2015,10,7,1.34
2015,10,8,1.13
2015,10,9,0.98
2015,10,10,1.14
2015,10,11,1.08
2015,10,12,1.1
2015,10,13,1.06
2015,10,14,1.12
2015,10,15,0.91
2015,10,16,1.16
2015,10,17,1.38
2015,10,18,1.46
2015,10,19,1.3
2015,10,20,1.76
2015,10,21,1.87
2015,10,22,1.45
2015,10,23,1.59
2015,10,24,1.2
2015,10,25,1.2
2015,10,26,1.84
2015,10,27,1.41
2015,10,28,1.46
2015,10,29,1.12
2015,10,30,1.08
2015,10,31,1.51
2015,11,1,1.29
2015,11,2,1.48
2015,11,3,1.21
2015,11,4,1.28
2015,11,5,0.78
2015,11,6,1.34
2015,11,7,1.36
2015,11,8,1.62
2015,11,9,0.87
2015,11,10,1.48
2015,11,11,1.02
2015,11,12,1.1
2015,11,13,1.55
2015,11,14,1.39
2015,11,15,1.61
2015,11,16,0.99
2015,11,17,1.09
2015,11,18,1.01
2015,11,19,1.01
2015,11,20,1.32
2015,11,21,0.97
2015,11,22,1.43
2015,11,23,1.04
2015,11,24,1.27
2015,11,25,1.47
2015,11,26,0.92
2015,11,27,1.23
2015,11,28,1.09
2015,11,29,1.63
2015,11,30,1.88
2015,12,1,1.68
2015,12,2,1.91
2015,12,3,1.56
2015,12,4,1.19
2015,12,5,0.95
2015,12,6,1.32
2015,12,7,1.18
2015,12,8,1.27
2015,12,9,1.38
2015,12,10,1.49
2015,12,11,1.56
2015,12,12,1.82
2015,12,13,1.72
2015,12,14,0.91
2015,12,15,1.2
2015,12,16,1.13
2015,12,17,1.3
2015,12,18,1.42
2015,12,19,1.45
2015,12,20,1.69
2015,12,21,1.58
2015,12,22,1.9
2015,12,23,1.32
2015,12,24,1.51
2015,12,25,1.59
2015,12,26,1.45
2015,12,27,2.0
2015,12,28,1.69
2015,12,29,1.83
2015,12,30,1.35
2015,12,31,1.45
2016,1,1,1.46
2016,1,2,1.31
2016,1,3,1.17
2016,1,4,1.52
2016,1,5,1.34
2016,1,6,1.14
2016,1,7,1.82
2016,1,8,1.0
2016,1,9,1.4
2016,1,10,1.36
2016,1,11,1.7
2016,1,12,1.31
2016,1,13,1.67
2016,1,14,1.67
2016,1,15,1.42
2016,1,16,1.59
2016,1,17,1.46
2016,1,18,1.77
2016,1,19,1.62
2016,1,20,1.66
2016,1,21,1.87
2016,1,22,1.7
2016,1,23,1.76
2016,1,24,1.92
2016,1,25,1.6
2016,1,26,1.67
2016,1,27,1.57
2016,1,28,1.66
2016,1,29,1.88
2016,1,30,1.71
2016,1,31,1.84
2016,2,1,1.62
2016,2,2,1.7
2016,2,3,1.73
2016,2,4,1.56
2016,2,5,1.42
2016,2,6,1.43
2016,2,7,1.7
2016,2,8,1.73
